scenario,interval,channel_type,channel_id,metric,n_runs,mean,std,sem,ci95_low,ci95_high,min,max
nominal,nominal,omega_C,overall,d,100,0.1910484964227028,0.004633372295217089,0.0004633372295217089,0.19014035545284025,0.19195663739256535,0.1801004085313493,0.20289784714637252
nominal,nominal,omega_C,overall,d_norm,100,0.21432660808216147,0.00526980986504332,0.000526980986504332,0.213293725348613,0.21535949081570996,0.20192026430924134,0.22754828442040007
nominal,nominal,omega_C,overall,p_ok,100,0.7772429748461471,0.005402400409437952,0.0005402400409437952,0.7761841043658972,0.778301845326397,0.764005383987983,0.7897632443356178
nominal,nominal,omega_C,overall,selected_score,100,0.7856733919178385,0.00526980986504332,0.000526980986504332,0.78464050918429,0.786706274651387,0.7724517155796,0.7980797356907586
nominal,nominal,omega_C,overall,u,100,0.108293953023323,0.0007745438394819936,7.745438394819936e-05,0.10814214243078453,0.10844576361586146,0.10697830747740933,0.11101760111026134
nominal,nominal,omega_C_pair,S1_S2,b,100,0.7006575505539742,0.004951157679180739,0.0004951157679180739,0.6996871236488548,0.7016279774590936,0.6890173162961978,0.7122996379593315
nominal,nominal,omega_C_pair,S1_S2,b_norm,100,0.7856733919178385,0.00526980986504332,0.000526980986504332,0.78464050918429,0.786706274651387,0.7724517155796,0.7980797356907586
nominal,nominal,omega_C_pair,S1_S2,d,100,0.1910484964227028,0.004633372295217089,0.0004633372295217089,0.19014035545284025,0.19195663739256535,0.1801004085313493,0.20289784714637252
nominal,nominal,omega_C_pair,S1_S2,d_norm,100,0.21432660808216147,0.00526980986504332,0.000526980986504332,0.213293725348613,0.21535949081570996,0.20192026430924134,0.22754828442040007
nominal,nominal,omega_C_pair,S1_S2,p_ok,100,0.7772429748461471,0.005402400409437952,0.0005402400409437952,0.7761841043658972,0.778301845326397,0.764005383987983,0.7897632443356178
nominal,nominal,omega_C_pair,S1_S2,selected_score,100,0.7856733919178385,0.00526980986504332,0.000526980986504332,0.78464050918429,0.786706274651387,0.7724517155796,0.7980797356907586
nominal,nominal,omega_C_pair,S1_S2,u,100,0.108293953023323,0.0007745438394819936,7.745438394819936e-05,0.10814214243078453,0.10844576361586146,0.10697830747740933,0.11101760111026134
nominal,nominal,omega_H,overall,b,100,0.7130398727803738,0.0050328665938815876,0.0005032866593881588,0.712053430927973,0.7140263146327747,0.7008454251765253,0.7247311136269365
nominal,nominal,omega_H,overall,b_norm,100,0.7886040613287949,0.00521998295784979,0.000521998295784979,0.7875809446690564,0.7896271779885334,0.7754231410878739,0.8008497297811297
nominal,nominal,omega_H,overall,d,100,0.1910484964227028,0.004633372295217089,0.0004633372295217089,0.19014035545284025,0.19195663739256535,0.1801004085313493,0.20289784714637252
nominal,nominal,omega_H,overall,d_norm,100,0.21139593867120499,0.005219982957849802,0.0005219982957849801,0.21037282201146643,0.21241905533094355,0.19915027021887027,0.224576858912126
nominal,nominal,omega_H,overall,p_ok,100,0.7469418382705332,0.00519178771706352,0.0005191787717063521,0.7459242478779887,0.7479594286630776,0.7342202994236979,0.7589740369156045
nominal,nominal,omega_H,overall,selected_score,100,0.7886040613287949,0.00521998295784979,0.000521998295784979,0.7875809446690564,0.7896271779885334,0.7754231410878739,0.8008497297811297
nominal,nominal,omega_H,overall,u,100,0.09591163079692326,0.0005674728518997571,5.674728518997571e-05,0.0958004061179509,0.09602285547589562,0.09501354797210684,0.09779296958683197
nominal,nominal,omega_T,overall,b,100,0.6733421387306044,0.004758136819522661,0.0004758136819522661,0.672409543913978,0.6742747335472309,0.6621556873255161,0.6845303864006758
nominal,nominal,omega_T,overall,b_norm,100,0.7856733919178385,0.005269809865043324,0.0005269809865043324,0.78464050918429,0.786706274651387,0.7724517155796,0.7980797356907586
nominal,nominal,omega_T,overall,d,100,0.18360036006523203,0.004452740288460065,0.0004452740288460065,0.18272762296869385,0.1844730971617702,0.17307905669890492,0.19498777585456165
nominal,nominal,omega_T,overall,d_norm,100,0.21432660808216147,0.005269809865043318,0.0005269809865043318,0.213293725348613,0.21535949081570996,0.20192026430924143,0.22754828442040007
nominal,nominal,omega_T,overall,p_ok,100,0.77454147663887,0.005436521245598002,0.0005436521245598001,0.7734759184747327,0.7756070348030072,0.7612837937610524,0.7870807537057202
nominal,nominal,omega_T,overall,selected_score,100,0.7856733919178385,0.005269809865043324,0.0005269809865043324,0.78464050918429,0.786706274651387,0.7724517155796,0.7980797356907586
nominal,nominal,omega_T,overall,u,100,0.1430575012041636,0.0007443484126506087,7.443484126506087e-05,0.1429116089152841,0.14320339349304312,0.14179314658789555,0.14567496909633862
nominal,nominal,omega_strict,overall,b,100,0.5137876878848631,0.007545579849653511,0.0007545579849653511,0.512308754234331,0.5152666215353952,0.4965912779269736,0.5305953269734969
nominal,nominal,omega_strict,overall,b_norm,100,0.5747024843273656,0.008814362917123446,0.0008814362917123446,0.5729748691956094,0.5764300994591218,0.5567174458466821,0.5947627349972902
nominal,nominal,omega_strict,overall,d,100,0.38041633558993626,0.008092789402314449,0.0008092789402314449,0.3788301488670826,0.3820025223127899,0.361785959039416,0.39794412003802193
nominal,nominal,omega_strict,overall,d_norm,100,0.42529751567263446,0.008814362917123446,0.0008814362917123446,0.4235699005408783,0.42702513080439064,0.40523726500270985,0.44328255415331785
nominal,nominal,omega_strict,overall,p_ok,100,0.527012184950513,0.007600892421075963,0.0007600892421075963,0.5255224100359822,0.5285019598650439,0.5102083977191181,0.5440476662218827
nominal,nominal,omega_strict,overall,selected_score,100,0.5747024843273656,0.008814362917123446,0.0008814362917123446,0.5729748691956094,0.5764300994591218,0.5567174458466821,0.5947627349972902
nominal,nominal,omega_strict,overall,u,100,0.10579597652520067,0.0014560778662587716,0.00014560778662587716,0.10551058526341396,0.10608136778698739,0.10276883345510567,0.10953321967843228
nominal,nominal,track,central_track,position_error_max_m,100,0.48366251358657103,0.038530888652045195,0.0038530888652045193,0.4761104594107702,0.4912145677623719,0.41124936739332524,0.5997729304056407
nominal,nominal,track,central_track,position_error_mean_m,100,0.15694299029556427,0.004521071896803336,0.0004521071896803336,0.1560568602037908,0.15782912038733773,0.14677694473621197,0.1671703970974458
nominal,nominal,track,central_track,position_error_rmse_m,100,0.17703101630910864,0.005048338218450932,0.0005048338218450932,0.17604154201829225,0.17802049059992503,0.1649869860242373,0.18969236904970035
